temperature,run,timestamp,latency_ms,tags,summary
0.7,9,2026-08-31T07:52:32Z,84529.24,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""in-unit laundry""]","Furnished two-bedroom apartment near SJSU features in-unit laundry, secure parking, and public transit access."
0.7,10,2026-08-31T07:53:46Z,74065.82,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""in-unit laundry""]",A furnished two-bedroom apartment near SJSU with in-unit laundry and secure parking is available.
0.7,11,2026-08-31T07:55:06Z,80116.27,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""in-unit laundry""]",A furnished two-bedroom apartment with in-unit laundry and secure parking is near San Jose State University.
0.7,12,2026-08-31T07:56:30Z,83634.64,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]","A furnished 2-bed apartment near SJSU offers in-unit laundry, secure parking, and public transit access."
0.7,13,2026-08-31T07:57:43Z,73240.58,"[""furnished two-bedroom"", ""in-unit laundry"", ""two-bedroom apartment near sjsu""]","A furnished two-bedroom apartment near SJSU offers in-unit laundry, secure parking, and public transit access."
0.7,14,2026-08-31T07:59:00Z,76277.35,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Available furnished two-bedroom apartment near SJSU has in-unit laundry and secure parking with transit access.
0.7,15,2026-08-31T08:00:37Z,97186.06,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""in-unit laundry""]","A furnished two-bedroom apartment with in-unit laundry, secure parking, and convenient access to public transit is available near the San Jose State University campus."
0.7,16,2026-08-31T08:01:59Z,82134.68,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU with in-unit laundry and secure parking.
0.7,17,2026-08-31T08:03:19Z,80115.09,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""in-unit laundry""]",A furnished two-bedroom apartment with in-unit laundry is available near SJSU.
0.7,18,2026-08-31T08:04:35Z,75918.54,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""in-unit laundry""]",A furnished two-bedroom near SJSU features in-unit laundry and secure parking.
0.7,19,2026-08-31T08:05:57Z,81898.5,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom near SJSU with in-unit laundry and secure parking offers transit access.
0.7,20,2026-08-31T08:07:16Z,79544.94,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""in-unit laundry""]",A furnished two-bedroom apartment near SJSU with in-unit laundry and transit access is available.
